"Woodstock and Carleton County | Woodstock et comté de Carleton; CMML : 'TRANSMIT.FPHX14.01.05.0255Z.AMD.xml'; Time zone | Fuseau horaire : Canada/Atlantic","Valid time | Heure de validité;Dew point (° Celsius) | Point de rosée (° Celsius)"
2020-01-05T01:00:00Z,-9999.00
2020-01-05T02:00:00Z,-1.00
2020-01-05T03:00:00Z,-1.00
2020-01-05T04:00:00Z,-1.00
2020-01-05T05:00:00Z,-1.00
2020-01-05T06:00:00Z,-1.00
2020-01-05T07:00:00Z,-1.67
2020-01-05T08:00:00Z,-2.33
2020-01-05T09:00:00Z,-3.00
2020-01-05T10:00:00Z,-4.00
2020-01-05T11:00:00Z,-5.00
2020-01-05T12:00:00Z,-6.00
2020-01-05T13:00:00Z,-5.67
2020-01-05T14:00:00Z,-5.33
2020-01-05T15:00:00Z,-5.00
2020-01-05T16:00:00Z,-5.67
2020-01-05T17:00:00Z,-6.33
2020-01-05T18:00:00Z,-7.00
2020-01-05T19:00:00Z,-7.00
2020-01-05T20:00:00Z,-7.00
2020-01-05T21:00:00Z,-7.00
2020-01-05T22:00:00Z,-8.00
2020-01-05T23:00:00Z,-9.00
2020-01-06T00:00:00Z,-10.00
2020-01-06T01:00:00Z,-11.00
2020-01-06T02:00:00Z,-12.00
2020-01-06T03:00:00Z,-13.00
2020-01-06T04:00:00Z,-13.33
2020-01-06T05:00:00Z,-13.67
2020-01-06T06:00:00Z,-14.00
2020-01-06T07:00:00Z,-14.67
2020-01-06T08:00:00Z,-15.33
2020-01-06T09:00:00Z,-16.00
2020-01-06T10:00:00Z,-16.00
2020-01-06T11:00:00Z,-16.00
2020-01-06T12:00:00Z,-16.00
